2025-09-04 22:05:06.168 | INFO     | __main__:<module>:7 - This is the loguru_demo!!!
2025-09-04 22:05:06.169 | INFO     | __main__:runLoggerInfo:10 - This is inside of a function!!!
2025-09-04 22:20:11.533 | INFO     | __main__:<module>:7 - This is the loguru_demo!!!
2025-09-04 22:20:11.539 | INFO     | __main__:runLoggerInfo:10 - This is inside of a function!!!
2025-09-04T22:23:03.505712-0500 | INFO | message: This is the loguru_demo!!!
2025-09-04T22:23:03.505712-0500 | INFO | message: This is inside of a function!!!
2025-09-04T22:23:43.972869-0500 | INFO | message: This is the loguru_demo!!!
2025-09-04T22:23:43.972869-0500 | INFO | message: This is inside of a function!!!
LOG TIME: 2025-09-04T22:26:09.215856-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-04T22:26:09.218643-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-04T22:28:51.441755-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-04T22:28:51.441755-0500 | ERROR | message: *** ERROR!!! *** Something occurred. | extra information: {}
LOG TIME: 2025-09-04T22:28:51.441755-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-04T22:32:38.452835-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-04T22:32:38.452835-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-04T22:33:06.974354-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-04T22:33:06.974992-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-04T22:33:06.974992-0500 | ERROR | message: ERROR!!! => not all arguments converted during string formatting - ('not all arguments converted during string formatting',) | extra information: {}
LOG TIME: 2025-09-05T20:52:30.008786-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-05T20:52:30.009440-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-05T20:52:30.009440-0500 | ERROR | message: ERROR!!! => not all arguments converted during string formatting - ('not all arguments converted during string formatting',) | extra information: {}
LOG TIME: 2025-09-05T20:53:22.676669-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-05T20:53:22.676669-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-05T20:53:22.676669-0500 | ERROR | message: ERROR!!! => list index out of range - ('list index out of range',) | extra information: {}
LOG TIME: 2025-09-05T20:53:39.343519-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-05T20:53:39.343519-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-05T20:53:39.343519-0500 | ERROR | message: ERROR!!! => not all arguments converted during string formatting - ('not all arguments converted during string formatting',) | extra information: {}
LOG TIME: 2025-09-05T23:25:40.137682-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-05T23:25:40.139706-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-05T23:25:40.139706-0500 | ERROR | message: ERROR!!! => not all arguments converted during string formatting - ('not all arguments converted during string formatting',) | extra information: {}
LOG TIME: 2025-09-05T23:27:52.686842-0500 | INFO | message: This is the loguru_demo!!! | {}
LOG TIME: 2025-09-05T23:27:52.687846-0500 | INFO | message: This is inside of a function!!! | {}
LOG TIME: 2025-09-05T23:27:52.687846-0500 | ERROR | message: ERROR!!! => not all arguments converted during string formatting - ('not all arguments converted during string formatting',) | {}
LOG TIME: 2025-09-05T23:28:24.213076-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-05T23:28:24.213076-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-05T23:30:16.075139-0500 | INFO | message: This is the loguru_demo!!! | extra information: {}
LOG TIME: 2025-09-05T23:30:16.076149-0500 | INFO | message: PERSONNEL PROFILE: | extra information: {'_id': 'js12345', 'name': 'Jamie Smith', 'role': 'asst. manager'}
LOG TIME: 2025-09-05T23:30:16.076149-0500 | INFO | message: This is inside of a function!!! | extra information: {}
LOG TIME: 2025-09-05T23:30:16.076149-0500 | ERROR | message: ERROR!!! => not all arguments converted during string formatting - ('not all arguments converted during string formatting',) | extra information: {}
